KEY,ENGLISH,KOREAN,CHECKED
t.sell_plorts_a,Plort Peddler,보석 상인,
m.reqmt.sell_plorts_a,Sell 100 plorts at the Plort Market,보석 상점에 100개의 보석을 파세요,
t.sell_plorts_b,Transplorter,보석 운송자,
m.reqmt.sell_plorts_b,Sell 500 plorts at the Plort Market,보석 상점에 500개의 보석을 파세요,
t.sell_plorts_c,Plort Authority,보석 권위자,
m.reqmt.sell_plorts_c,"Sell 1,000 plorts at the Plort Market","보석 상점에 1,000개의 보석을 파세요",
t.sell_plorts_d,Plort Powerhouse,보석 발전소,
m.reqmt.sell_plorts_d,"Sell 2,500 plorts at the Plort Market","보석 상점에 2,500개의 보석을 파세요",
t.sell_plorts_e,Plort Tycoon,보석계의 거물,
m.reqmt.sell_plorts_e,"Sell 5,000 plorts at the Plort Market","보석 상점에 5,000개의 보석을 파세요",
t.feed_slimes_chickens,Buck Buck Bagu-,"꼭,꼭,꼬끼오!",
m.reqmt.feed_slimes_chickens,Feed 100 chickens to slimes on the Ranch,100마리의 닭을 슬라임에게 먹이세요,
t.fruit_tree_types,Fruit Cocktail,과일 칵테일,
m.reqmt.fruit_tree_types,Have 3 different fruit trees on the Ranch at the same time,목장에서 동시에 3 종류의 다른 과일 나무를 키우세요,
t.veggie_patch_types,Salad Bar,샐러드바,
m.reqmt.veggie_patch_types,Have 3 different veggie gardens on the Ranch at the same time,목장에서 동시에 3종류의 다른 야채를 키우세요,
t.earn_currency_a,Fortunate,운 좋은,
m.reqmt.earn_currency_a,"Earn over 5,000 newbucks","5,000원 이상을 버세요",
t.earn_currency_b,Well-Off Rancher,순조로운 목장주,
m.reqmt.earn_currency_b,"Earn over 25,000 newbucks","25,000원 이상을 버세요",
t.earn_currency_c,Upper Crust,상류층,
m.reqmt.earn_currency_c,"Earn over 100,000 newbucks","100,000원 이상을 버세요",
t.day_currency,A Quick Newbuck,돈 벌기에 빠삭한,
m.reqmt.day_currency,"Earn 5,000 newbucks in a single day","하루에 5,000원을 버세요",
t.awake_until_morning,Up All Night,밤을 새다,
m.reqmt.awake_until_morning,Stay awake from 6 AM to 6 AM the next day,오전 6시부터 다음날 오전 6시까지 깨어 있으세요,
t.knockout_morning,Not My Morning,내 아침이 아니야,
m.reqmt.knockout_morning,Be knocked out before 10 AM,오전 10시 전에 기절하세요,
t.away_from_ranch,While You Were Away,네가 없는 동안,
m.reqmt.away_from_ranch,Return to the Ranch after more than 24 hours,24시간이 지난 후에 목장에 돌아오세요,
t.feed_airborne,Catch!,잡았다!,
m.reqmt.feed_airborne,Shoot food into an airborne slime's mouth,슬라임의 입 안으로 음식을 쏘세요,
t.pink_slimes_food_types,Omnivorous,잡식성,
m.reqmt.pink_slimes_food_types,Feed pink slimes on the Ranch 10 different types of food,목장의 핑크 슬라임에게 10종류의 다른 음식을 먹이세요,
t.feed_favorites,Tasty!,맛있어!,
m.reqmt.feed_favorites,Feed 50 slimes on the Ranch their favorite food,목장의 슬라임 50마리에게 좋아하는 음식을 먹이세요,
t.discovered_quarry,"Mine, All Mine","내 거야, 몽땅!",
m.reqmt.discovered_quarry,Discover the Indigo Quarry,인디고 채석장을 발견하세요,
t.discovered_moss,On The Other Side,다른 쪽,
m.reqmt.discovered_moss,Discover the Moss Blanket,이끼 장막을 발견하세요,
t.discovered_desert,"Smoke, Fire, and Mirrors","여기, 불, 그리고 거울",
m.reqmt.discovered_desert,Discover the Glass Desert,유리 사막을 발견하세요,
t.discovered_ruins,Into the Past,,
m.reqmt.discovered_ruins,Discover the Ancient Ruins,,
t.burst_gordo,Jelly Belly Burst,젤리 벨리 버스트,
m.reqmt.burst_gordo,Burst a gordo slime,고르도 슬라임을 터트리세요,
t.open_slime_gate,Open Says Me,열린 이야기,
m.reqmt.open_slime_gate,Open a slime gate,슬라임 관문을 여세요,
t.incinerate_elder_chicken,Carousel,회전 목마,
m.reqmt.incinerate_elder_chicken,Incinerate an elder chicken,엘더 치킨을 소각하세요,
t.incinerate_chick,You... Monster!,이...괴물!,
m.reqmt.incinerate_chick,"Send an adorable chick to a fiery end, the same place you're now destined to go","사랑스러운 병아리를 불구덩이로 데려가세요,당신이 가기로 되어있는 곳과 같은 곳으로.",
t.filled_silo,Burstin' at the Seams,초만원 상태,
m.reqmt.filled_silo,Completely fill a fully-upgraded silo,완벽하게 업그레이드된 저장고를 가득 채우세요,
t.ranch_upgraded_storage,Fully Loaded,장전 완료,
m.reqmt.ranch_upgraded_storage,"Have a maximally upgraded corral, coop, and silo on the Ranch","최대로 업그레이드된 목장,농장,창고를 보유하세요",
t.fulfill_exchange_early,Hasty Exchange,성급한 거래,
m.reqmt.fulfill_exchange_early,Fulfill a Range Exchange request between Noon and 2 PM,정오에서 오후 2시 사이에 거래를 수행하세요,
t.day_collect_plorts,Free Rangin',방목,
m.reqmt.day_collect_plorts,Collect 50 plorts on the Range in a single day,하루에 50개의 보석을 모으세요,
t.gold_slime_triple_plort,Hat Trick,햇 트릭,
m.reqmt.gold_slime_triple_plort,Obtain at least 3 gold plorts from a single gold slime,골드 슬라임 한 마리에게서 3개의 황금 보석을 얻으세요.,
t.extended_rad_exposure,That Only Works in Comic Books,만화책에서만 가능한 일입니다,
m.reqmt.extended_rad_exposure,Stand inside a rad aura for at least 15 seconds,방사능 범위 안에서 최소한 15초 버티세요,
t.extended_tarr_hold,"Once Bitten, Twice... Bitten",한 번 물리고...두 번 물리고,
m.reqmt.extended_tarr_hold,Hold onto a tarr for 15 seconds,타르를 상대로 15초 동안 붙잡고 버티세요,
t.tabby_headbutt,Boop!,붑!,
m.reqmt.tabby_headbutt,Let a tabby slime headbutt you right on the nose,고양이 슬라임의 미간을 맞추세요,
t.launched_boom_explode,Fireworks,불꽃놀이,
m.reqmt.launched_boom_explode,Shoot a boom slime largo into the air that explodes before landing,폭탄 라르고 슬라임을 공기중에 발사해서 땅에 떨어지기전에 터지게 하세요,
t.many_slimes_in_vac,Controlling the Chaos,혼돈 제어,
m.reqmt.many_slimes_in_vac,Constrain more than 15 slimes in your vac stream at once while on the range,목장에서 있는 동안 당신 가방에있는 15마리 이상의 슬라임들을 연속적으로 바로 나오게 만드세요,
t.corral_slime_types,Six Pack,식스팩,
m.reqmt.corral_slime_types,Have at least 6 different types of slimes in the same corral,적어도 6종류의 다른 슬라임들을 한 우리에 넣으세요,
t.corral_largo_types,Risky Business,위험한 사업,
m.reqmt.corral_largo_types,Have at least 3 different types of largos in the same corral,적어도 3종류의 다른 느림보들을 한 우리에 넣으세요,
t.pond_slime_types,Pool Party,수영장 파티,
m.reqmt.pond_slime_types,Fill a pond on your ranch with at least 5 different types of slimes,적어도 5종류의 슬라임으로 목장 연못을 채우세요,
t.ranch_largo_types,Diversification,다각화,
m.reqmt.ranch_largo_types,Have at least 10 types of largos on the Ranch,적어도 10종류의 슬라임을 목장에 갖추세요,
t.entered_corral_slimes,Ball Pit,볼 풀장,
m.reqmt.entered_corral_slimes,Jump into a corral containing at least 40 slimes,적어도 40마리의 슬라임들을 데리고 울타리안으로 뛰어드세요.,
t.time_limit_currency_a,5-Day Challenger,5일의 도전자,
m.reqmt.time_limit_currency_a,"Reach at least 10,000 newbucks at the end of a 5-Day Rush","5일 안에 적어도 10,000원에 도달하세요",
t.time_limit_currency_b,5-Day Champion,5일의 우승자,
m.reqmt.time_limit_currency_b,"Reach at least 25,000 newbucks at the end of a 5-Day Rush","5일 안에 적어도 25,000원에 도달하세요",
t.time_limit_currency_c,5-Day Plortmaster,5일의 보석마스터,
m.reqmt.time_limit_currency_c,"Reach at least 50,000 newbucks at the end of a 5-Day Rush","5일 안에 적어도 50,000원에 도달하세요",
t.fabricate_gadgets_a,Onward... to SCIENCE!,,
m.reqmt.fabricate_gadgets_a,Fabricate your first Slime Science gadget,,
t.fabricate_gadgets_b,Bea the Builder,,
m.reqmt.fabricate_gadgets_b,Fabricate 35 Slime Science gadgets,,
t.fabricate_gadgets_c,Never Stop Creating,,
m.reqmt.fabricate_gadgets_c,Fabricate 100 Slime Science gadgets,,
t.slime_stage_tarr,Best of the Worst,,
m.reqmt.slime_stage_tarr,Place a tarr on the,,
t.slimeball_score,She's on Fire!,,
m.reqmt.slimeball_score,Score 50 points in a single game of slimeball,,
t.join_rewards_club,One Person at a Time,,
m.reqmt.join_rewards_club,Join the 7Zee Rewards Club,,
t.use_chromas,Color Me Impressed,,
m.reqmt.use_chromas,"Use chroma packs to change the color of the ranch house, tech, and vacpack",,
t.collect_slime_toys,Mint in Box,,
m.reqmt.collect_slime_toys,Purchase at least 10 different types of slime toys,,
t.find_hobsons_end,Doors Like These,,
m.reqmt.find_hobsons_end,"Discover where Hobson's journey ended, and started once again.",,
t.snare_hunter_gordo,The Hunter Has Become.. The Other Thing,,
m.reqmt.snare_hunter_gordo,Snare a Hunter Gordo,,
t.activate_oasis,Renewal,,
m.reqmt.activate_oasis,Start bringing life back to the Glass Desert,,
t.finish_adventure,The Adventure Continues!,,
m.reqmt.finish_adventure,Complete Adventure Mode and set out for what's next.,,
t.complete_slimepedia,Pro Style,,
m.reqmt.complete_slimepedia,Complete the Slimepedia,,
