KEY,ENGLISH,KOREAN,CHECKED
m.rancher.thora,Thora West,토라 웨스트,
m.rancher.viktor,Viktor Humphries,빅토르 험프리,
m.rancher.ogden,Ogden Ortiz,오그덴 오티즈,
m.rancher.mochi,Mochi Miles,모치 마일즈,
m.rancher.bob,BOb,밥,
m.offer_1.thora,What're the odds the greenhorn beats y'all to this one?,신참이 한번에 모두를 능가할 가능성은 얼마나 될까?,
m.offer_2.thora,Don't suppose you also got a cup a sugar kicking around too?,너도 설탕이 넘치는 컵을 갖고 있다고 생각하지 않나요?,
m.offer_3.thora,"Up too late last night, need a few things.",어젯밤에 너무 늦었어. 몇 가지 더 필요해.,
m.offer_4.thora,"Best part of the range? You hear all those cars and people? Yeah, I don't either.","목장의 가장 좋은 점? 넌 차들과 사람들의 모든것이 들리니? 그래, 나도 몰라.",
m.offer_5.thora,You ever try to lasso a slime? Makes the whole vacpack thing pretty obvious.,슬라임을 묶어 놓으려고 해본적이 있나요? vacpack만 있으면 모든것이 완벽하죠,
m.bonusoffer.thora,Drinks are on me if you can get me these things in a hurry!,"음료는 나에게 달려있어, 네가 이것들을 나에게 빨리 가져다주기만 한다면 말이야!",
m.offer_1.viktor,"If possible, please acquire the following for a future study. My thanks.",가능하다면 미래의 연구를 위해 그걸 얻도록 해. 고마워.,
m.offer_2.viktor,Are rad slimes a natural evolution or result of exposure to foreign matter?,"방사능 슬라임들은 자연적인 진화거나, 혹은 뭔가에 노출될 결과일거야",
m.offer_3.viktor,"Have you ever seen a Django's Tiger? Of course not, you can only hear it. Pardon me, that was a joke.","너 장고의 호랑이를 본적있어? 당연히 못봤겠지, 그건 오직 들을 수 만 있거든. 미안, 농담이였어. (Django's Tiger 는 곡명입니다.)",
m.offer_4.viktor,"If you listen very closely, you can hear a boom slime's cells vibrate. But don't listen for long.","아주 주의깊게 들어보면, 폭탄 슬라임의 세포들이 진동하는게 들릴거야. 하지만 너무 오래듣지는 마.",
m.bonusoffer.viktor,"I'm afraid that one of my studies has gone a bit, well, please just get me these things at once!","내 연구 중 하나가 약간 틀어졌을까 걱정이 되긴하네, 그럼, 나에게 이러한 것을들 바로 보내주길 바란다!",
m.offer_1.ogden,I'm working on a new recipe. Help me out?,난 새로운 제조법을 연구 중이야. 도와줄래?,
m.offer_2.ogden,Eating carrots helps you see in the dark!,당근 먹기는 밤에 보는데 도움이 돼!,
m.offer_3.ogden,The best part of an orange is the peel. But the inside's pretty good too.,"오렌지의 좋은 부분은 껍질이지만, 안의 것도 꽤 좋아!",
m.offer_4.ogden,Sometimes I like to take a nap in the Moss Blanket. But those darn boom slimes always wake me up!,"때로는 이끼 담요에서 자기도 하지만, 그 폭탄 슬라임들이 항상 나를 깨우곤 해!",
m.offer_5.ogden,"Ogden's Party Punch: 1 part pogofruit juice, 1 parts prickle pear juice, 2 parts starfire rum. Gets you dancing!","오그덴의 특제 칵테일:포고프루트 주스 1번, 프리클피어 주스 1번, 스타파이어 럼 2번. 널 춤추게 만들껄!",
m.bonusoffer.ogden,I'm in a real pickle here!,나 지금 진짜 큰일났어!,
m.offer_1.mochi,"I need these plorts post-haste, whatever that means.","그것이 뭘 의미하던지 간에, 난 이 보석들이 가급적 빨리 필요해.",
m.offer_2.mochi,The last thing I want to do is make you look bad. But it's still on the list.,마지막으로 내가 하고싶은건 널 나빠 보이게 하는거야. 하지만 아직은 명단에있지.,
m.offer_3.mochi,"I promise you this is a good deal, banana peel.",나는 이게 바나나 껍질 벗기듯이 좋은 거래일 거라고 약속하지.,
m.offer_4.mochi,"My ranching skills are gonna make you squirm, wiggle worm!","내 목장운영 기술들이 널 꼼지락 거리게 할걸, 꿈틀거리는 지렁이 처럼말이지!",
m.offer_5.mochi,"Let's make a trade, lemonade.",교환하자. 레모네이드.,
m.bonusoffer.mochi,"My toast is in a jam here! Help out a pal, yeah?",내 토스트 잼은 여기 있어. 좀 도와줄래? 친구?,
m.offer_1.bob,cHickeN? chicckens.,치킨? 치키이이인.,
m.offer_2.bob,askjhsfdkjh!!,ㅁ나ㅓㅗㄴㄹ아ㅓㅗ!!,
m.offer_3.bob,hallOO. chikkEN. OKs?,헬로오오오. 치킨. 오케이?,
m.offer_4.bob,"ok oKok OK, OK!!  chiCKEn ok?","오케이 오케오케오케, 오케!! 치킨 오케이?",
m.bonusoffer.bob,CHICKKENN! askjasdljhsdfjkhasdlasdlkajs!!!!!,치키이이이인!! ㅁ나ㅓㅁㄴ이ㅑㅓㅗㄴㅇ랴ㅏㅗㅁ넌!!!!,
