KEY,ENGLISH,KOREAN,CHECKED
m.dayofweek.0,Sun,일,
m.dayofweek.1,Mon,월,
m.dayofweek.2,Tue,화,
m.dayofweek.3,Wed,수,
m.dayofweek.4,Thu,목,
m.dayofweek.5,Fri,금,
m.dayofweek.6,Sat,토,
m.commalist0,None,None,
m.commalist1,{0},{0},
m.commalist2,"{0}, {1}","{0}, {1}",
m.commalist3,"{0}, {1}, {2}","{0}, {1}, {2}",
m.commalist4,"{0}, {1}, {2}, {3}","{0}, {1}, {2}, {3}",
m.andlist0,None,None,
m.andlist1,{0},{0},
m.andlist2,{0} and {1},"{0}, {1}",
m.andlist3,"{0}, {1}, and {2}","{0}, {1}, {2}",
m.andlist4,"{0}, {1}, {2}, and {3}","{0}, {1}, {2}, {3}",
m.ellipsize0,{0},{0},
m.ellipsize1,{0}.,{0}.,
m.ellipsize2,{0}..,{0}..,
m.ellipsize3,{0}...,{0}...,
l.none,None,None,
