KEY,ENGLISH,KOREAN,CHECKED
m.None,None,None,
m.Key0,0,0,
m.Key1,1,1,
m.Key2,2,2,
m.Key3,3,3,
m.Key4,4,4,
m.Key5,5,5,
m.Key6,6,6,
m.Key7,7,7,
m.Key8,8,8,
m.Key9,9,9,
m.Pad0,Num0,Num0,
m.Pad1,Num1,Num1,
m.Pad2,Num2,Num2,
m.Pad3,Num3,Num3,
m.Pad4,Num4,Num4,
m.Pad5,Num5,Num5,
m.Pad6,Num6,Num6,
m.Pad7,Num7,Num7,
m.Pad8,Num8,Num8,
m.Pad9,Num9,Num9,
m.LeftButton,MouseLeft,마우스왼쪽,
m.RightButton,MouseRight,마우스오른쪽,
m.MiddleButton,MouseMid,마우스휠,
m.PositiveScrollWheel,ScrollUp,스크롤업,
m.NegativeScrollWheel,ScrollDown,스크롤다운,
m.LeftShift,LeftShift,왼쪽Shift,
m.RightShift,RightShift,오른쪽Shift,
m.LeftCtrl,LeftCtrl,왼쪽Ctrl,
m.RightCtrl,RightCtrl,오른쪽Ctrl,
m.LeftAlt,LeftAlt,왼쪽Alt,
m.RightAlt,RightAlt,오른쪽Alt,
m.UpArrow,UpArrow,위방향키,
m.DownArrow,DownArrow,아래방향키,
m.LeftArrow,LeftArrow,왼쪽방향키,
m.RightArrow,RightArrow,오른쪽방향키,
m.Space,Space,스페이스,
m.Slash,Slash,슬래시/,
m.Backslash,Backslash,역슬래시\\,
m.Action1,A,A,
m.Action2,B,B,
m.Action3,X,X,
m.Action4,Y,Y,
m.LeftTrigger,LT,LT,
m.LeftBumper,LB,LB,
m.RightTrigger,RT,RT,
m.RightBumper,RB,RB,
m.DPadUp,Up,위,
m.DPadDown,Down,아래,
m.DPadLeft,Left,왼쪽,
m.DPadRight,Right,오른쪽,
m.Back,Back,Back,
m.Start,Start,Start,
m.LeftStickButton,Left Stick,왼쪽 스틱,
m.RightStickButton,Right Stick,오른쪽 스틱,
m.View,View,View,
m.Menu,Menu,Menu,
