KEY,ENGLISH,KOREAN,CHECKED
m.subj.welcome,"Welcome to the Far, Far Range",머나먼 방목장에 오신것을 환영합니다.,
m.from.welcome,The 7Zee Corporation,7Zee 주식회사,
m.body.welcome,"Ms. LeBeau:\n\n\
	The 7Zee Corporation would like to welcome you to the Far, Far Range:\n\n\
	Welcome.\n\n\
	And extend our support in your bold new venture as a slime rancher:\n\n\
	(support extended)\n\n\
	We would also like to request that you exercise caution in your first few days on the range. Until you get more familiar with your surroundings, traveling at night is not advisable.\n\n\
	Lastly, should you require any additional tools for your vacpack or items to make your slime ranching experience easier, the 7Zee Corporation would be pleased to provide them to you from the shop located just outside your ranch house.\n\n\
	<i>The 7Zee Corporation: Providing the tools you need to get the job done, for us, for a small fee.</i>\n\n\
    - The 7Zee Corporation","르보 씨, \n\n\
 7Zee 주식회사는머나먼 방목장에 오신 귀하를 환영하며 목장 주인으로서 당신의 용감한 새로운 모험에 대한\
 지원을 확대 할 수 있도록 하겠습니다. 자사는 당신이 저희가 좋은 값에 지불 할 보석을\
 꾸준한 흐름으로 우리에게 공급하기를 기대합니다. \n\n\
 우리는 또한 며칠 동안의 당신의 목장에 관하여 주의를 기울이도록 요청하고 싶습니다. 주변 환경에\
 익숙해 질 때까지는, 밤에 여행하는 것은 좋지 않습니다. \n\n\
 마지막으로, 귀하의 가방을 위한 추가 도구가 필요한 경우 저희 7Zee 주식회사는 귀하의 댁 바로 바깥에있는\
 상점에서 상품을 제공하고 있으니 부디 이용해주시기 바랍니다. \n\n\
 행운을 빕니다, 르보 씨. \n\
 -7Zee 주식회사 ",
m.subj.partner_rewards,The 7Zee Rewards Club,,
m.from.partner_rewards,The 7Zee Corporation,,
m.body.partner_rewards,"Ms. LeBeau:\n\n\
	The 7Zee Corporation would like to extend a very special offer to you: an invitation to the very exclusive, exceptionally choice, highly sought-after '7Zee Rewards Club!'\n\n\
	The 7Zee Rewards Club allows you to earn ultra premium ranks within an exclusive club, for only a semi-ultra premium price. It's just that easy.\n\n\
	Each rank grants you a new club title, along with unique rewards such as beautiful upgrades for your ranch, exclusive customization options, and more. We look forward to your enrollment.\n\n\
	<i>The 7Zee Corporation: Offering you a path to to greatness, one large sum of newbucks at a time.</i>\n\n\
    - The 7Zee Corporation",,
m.subj.rewards_level_5,Chroma Packs Now Available,,
m.from.rewards_level_5,The 7Zee Corporation,,
m.body.rewards_level_5,"Ms. LeBeau:\n\n\
	The 7Zee Corporation would like to congratulate you on obtaining the rank of Skylark I. With this rank you now have access to a new avenue of creative self-expression: Chroma Packs.\n\n\
	Chroma Packs allow you to apply new color schemes to your ranch house, vacpack, and ranch tech, allowing you to stand out from all the other ranchers on the Far, Far, Range. And while we realize that most slime ranchers never even see another rancher given geographic separation between rancher properties, we have a feeling that they know. Oh yes, they know.\n\n\
	Please also note that by the time you have likely read this message, the 7Zee Corporation has already installed a Chroma Pack terminal just outside your home.\n\n\
	<i>The 7Zee Corporation: Covertly installing machines outside your home quickly... and reliably.</i>\n\n\
	- The 7Zee Corporation",,
m.subj.rewards_level_8,Slime Enrichment Devices Now on Sale,,
m.from.rewards_level_8,The 7Zee Corporation,,
m.body.rewards_level_8,"Ms. LeBeau:\n\n\
	The 7Zee Corporation would like to congratulate you on obtaining the rank of Rolling Beetle I. With this rank you now have access to a revolutionary, new technology for slime enrichment and preoccupation from activities that would otherwise hinder ranching. We call this new technology: slime toys.\n\n\
	Slime toys can now be purchased from the shop we have...... just....... installed....... on....... your..... ranch. Please excuse the excessive pauses in that last sentence, but our technician drones may have needed extra time for the installation and we did not wish for our claim to be inaccurate.\n\n\
	<i>The 7Zee Corporation: giving robots time to do their job right, one sentence at a time.</i>\n\n\
    - The 7Zee Corporation",,
m.subj.rewards_level_max,Thank You for Your Contribution,,
m.from.rewards_level_max,The 7Zee Corporation,,
m.body.rewards_level_max,"Ms LeBeau:\n\n\
	We at the 7Zee Corporation are absolutely taken aback by your commitment to the 7Zee Rewards Club. You have achieved the highest possible rank currently available to rewards club members; congratulations.\n\n\
	Having no further ranks or rewards to offer you at this time, we have elected to make a substantial charitable contribution in your name to the International Association for Otter Awareness. Because of your efforts, more people will be aware of otters than ever before.\n\n\
	<i>The 7Zee Corporation: creating systems that enable ranchers to purchase rewards that result in charity that raise otter awareness... one smile at a time.</i>\n\n\
    - The 7Zee Corporation",,
m.subj.exchangeintro_thora,Welcome to the Range Exchange!,목장 교환소에 오신 것을 환영합니다!,
m.from.exchangeintro_thora,Thora West,토라 웨스트,
m.body.exchangeintro_thora,"Hi there, Beatrix! The name's Thora West. I'll keep my introduction short on account that we all got work to do: I'm a long-time rancher here on the Far, Far Range and head of the welcome wagon for your local Range Exchange.\n\n\
  The Range Exchange is a network of ranchers just like yourself who are looking to trade what they got for what they need: slimes, plorts, food- whatever. All you need to do is check out the Range Exchange machine daily and be sure to get your trade completed by noon.\n\n\
  As more ranchers get added to your network, you should receive a hearty hello from them so check your inbox.\n\n\
  Well, enough jawin,' we've both got slimes to wrangle.\n\n\
  Adios, Beatrix.\n\n\
  - Thora","안녕, 베아트릭스! 내 이름은 토라 웨스트. 우리 모두가 해야 할 일이 있기 때문에 내 소개를 짧게할게: 나는 여기 머나먼 목장에서 오랜시간을 지낸 목장주이고  너의 지역 목장 교환소를 위한 신참 환영차의 주인이야.\n\n\
 목장 교환소는 그들이 원하는 것과 필요한 것들: 슬라임, 보석, 음식- 등등 을 교환하려고하는 너와 같은 목장주들 간의 네트워크야. 너가 해야하는것은 오직 목장 교환소 기계를 매일 확인하고 정오까지 거래를 완료하기만 하면 돼.\n\n\
 더 많은 목장주들이 네트워크에 추가되기 시작하면, 그들에게서 마음을 담은 인사를 받게될거야 그러니 편지함을 확인하도록 해.\n\n\
 음, 충분히 얘기한것 같네, 우리 둘 다 슬라임으로 겨뤄보자고.\n\n\ 
 그럼 안녕, 베아트릭스.\n\n\
 - 토라",
m.subj.exchangeintro_viktor,"Salutations, Ms. LeBeau","반갑습니다, 르보 씨",
m.from.exchangeintro_viktor,Viktor Humphries,빅토르 험프리,
