KEY,ENGLISH,KOREAN,CHECKED
t.locked,???,???,
m.intro.locked,Discover this item to add it to your Slimepedia.,이 항목을 발견하여 슬라임백과에 추가하세요.,
m.desc.locked,???,???,
m.diet.locked,???,???,
m.favorite.locked,???,???,
m.slimeology.locked,???,???,
m.risks.locked,???,???,
m.plortonomics.locked,???,???,
m.favored_by.locked,???,???,
m.how_to_use.locked,???,???,
m.resource_type.locked,???,???,
t.basics,Basic Player Controls,기본 조작법,
m.intro.basics,Get a move on.,움직여봅시다,
m.instructions.basics,"<b>W</b>: Move forward \n\
<b>A</b>: Move left \n\
<b>S</b>: Move backward \n\
<b>D</b>: Move right \n\
\n\
<b>Shift</b>: Sprint (uses energy) \n\
\n\
<b>Space</b>: Jump (hold to use jetpack, if available) \n\
\n\
<b>E</b>: Interact (when prompted)","<b>W</b>: 앞으로 가기 \n\
<b>A</b>: 왼쪽으로 가기 \n\
<b>S</b>: 뒤로 가기 \n\
<b>D</b>: 오른쪽으로 가기 \n\
\n\
<b>Shift</b>: 전력질주 (에너지를 사용함) \n\
\n\
<b>Space</b>: 뛰기 (누르고 있으면 제트팩 사용, 사용가능할 때) \n\
\n\
<b>E</b>: 상호작용 (메세지가 나타나면)",
m.instructions.gamepad.basics,"<b>Left Stick</b>: Move\n\
\n\
<b>Hold Left Stick</b>: Sprint (uses energy) \n\
\n\
<b>A</b>: Jump (hold to use jetpack, if available) \n\
\n\
<b>X</b>: Interact (when prompted)","<b>왼쪽 스틱</b>: 이동\n\
\n\
<b>왼쪽 스틱 누르기</b>: 전력질주 (에너지를 사용함) \n\
\n\
<b>A</b>: 뛰기 (누르고 있으면 제트팩 사용, 사용가능할 때) \n\
\n\
<b>X</b>: 상호작용 (메세지가 나타나면)",
m.desc.basics,,,
t.vacing,Vacpack: Vac-ing and Shooting,Vacpack: 포획과 쏘기,
m.intro.vacing,Your first step to becoming a master rancher.,숙련된 목장주가 되기 위한 첫 걸음,
m.instructions.vacing,"<b>Right Mouse Button</b>: Vacuum slimes or other objects \n\
\n\
Larger objects will be held at the nozzle and can be dropped \
by releasing vac or fired by pressing shoot. \n\
\n\
<b>Left Mouse Button</b>: Shoot slime or other object from the selected vac tank \n\
\n\
Hold the shoot key to continuously shoot.","<b>오른쪽 마우스 버튼</b>: 슬라임이나 다른 물체를 흡입할 수 있습니다. \n\
\n\
더 큰 물체들은 노즐에 붙들어 놓고 흡입하는 것을 멈추어 떨어뜨리거나\
 쏘기키를 눌러 발사할 수 있습니다. \
\n\
<b>왼쪽 마우스 버튼</b>: 선택된 흡입 탱크에서 슬라임이나 다른 물체를 쏠 수 있습니다. \n\
\n\
발사키를 누르고 있으면 계속 발사합니다.",
m.instructions.gamepad.vacing,"<b>Left Trigger</b>: Vacuum slimes or other objects \n\
\n\
Larger objects will be held at the nozzle and can be dropped \
by releasing vac or fired by pressing shoot. \n\
\n\
<b>Right Trigger</b>: Shoot slime or other object from the selected vac tank \n\
\n\
Hold the shoot button to continuously shoot.","""<b>왼쪽 트리거(LT)</b>: 슬라임이나 다른 물체를 흡입함. \n\
\n\
더 큰 물체들은 노즐에 붙들어 놓고 흡입하는 것을 멈추어 떨어뜨리거나\
 쏘기키를 눌러 발사할 수 있습니다. \
\n\
<b>오른쪽 트리거(RT)</b>: 선택된 흡입 탱크에서 슬라임이나 다른 물체를 쏠 수 있습니다. \n\
\n\
발사키를 누르고 있으면 계속 발사합니다.",
m.desc.vacing,,,
t.capturetanks,Vacpack: Vac Tanks,Vacpack: 흡입 탱크,
m.intro.capturetanks,"Nanotechnology makes everything possible, and everything smaller.","나노 기술은 모든것을 가능하게 하고, 모든것을 작게 만들 수 있습니다.",
m.instructions.capturetanks,"Vac tanks allow you to easily collect, sort, and transport \
slimes and other resources. \n\
\n\
<b>1, 2, 3, 4, 5</b>: Select vac tank \n\
<b>Mouse Wheel</b>: Cycle through vac tanks","흡입 탱크를 사용하면 슬라임과 다른 자원들을 쉽게 \
수집, 분류, 이송할 수 있습니다. \n\
\n\
<b>1, 2, 3, 4, 5</b>: 흡입 탱크 선택하기 \n\
<b>Mouse Wheel</b>: 흡입 탱크를 돌아가며 선택하기",
m.instructions.gamepad.capturetanks,"Vac tanks allow you to easily collect, sort, and transport \
slimes and other resources. \n\
\n\
<b>Left Bumper/Right Bumper</b>: Cycle through vac tanks","흡입 탱크를 사용하면 슬라임과 다른 자원들을 쉽게 \
수집, 분류, 이송할 수 있습니다. \n\
\n\
<b>왼쪽 범퍼(LB)/오른쪽 범퍼(RB)</b>: 흡입 탱크를 돌아가며 선택하기",
m.desc.capturetanks,,,
t.energy,Vacpack: Health and Energy,Vackpack: 체력과 에너지,
m.intro.energy,Everything has a cost.,모든 것은 비용이 듭니다.,
m.instructions.energy,"Monitor your health and energy levels with the Health Meter and Energy Meter on the lower left \
of the screen. \n\
\n\
Health will be automatically restored after not taking damage for a period of time. \n\
\n\
Energy will be automatically restored after not using energy for a period of time.","화면 왼쪽 하단의 체력 Meter와 에너지 Meter로 체력 및 에너지 수치를 확인하세요. \n\
\n\
체력은 일정 시간 동안 데미지를 받지 않으면 자동으로 회복합니다. \n\
\n\
에너지는 일정 시간 동안 사용하지 않으면 자동으로 회복합니다.""",
m.desc.energy,,,
t.corralling,Ranching Basics: Corralling Slimes,목장 일의 기본: 우리에 슬라임 넣기,
m.intro.corralling,"You can contain them, but you can't stop the wiggle.","슬라임을 데려올 수는 있지만, 슬라임이 도망가지 못하게 할 수는 없습니다.",
m.instructions.corralling,"Shoot slimes through corral walls to contain them and make them easier \
to manage. But remember: hungry slimes will always find a way out of their corrals! \n\
\n\
<b>Mouse Wheel</b>: Select vac tank \n\
<b>Left Mouse Button</b>: Shoot","슬라임을 우리의 벽에 쏘아서 슬라임을 가둘 수 있고 슬라임을 관리하기 쉬워집니다.\
하지만 기억하세요: 배고픈 슬라임은 언제나 우리에서 빠져나올 방법을 찾을 것입니다! \n\
\n\
<b>마우스 휠</b>: 흡입 탱크를 선택하기 \n\
<b>마우스 왼쪽 버튼</b>: 쏘기",
m.instructions.gamepad.corralling,"Shoot slimes through corral walls to contain them and make them easier \
to manage. But remember: hungry slimes will always find a way out of their corrals! \n\
\n\
<b>Left Bumper/Right Bumper</b>: Select vac tank \n\
<b>Right Trigger</b>: Shoot","슬라임을 우리의 벽에 쏘아서 슬라임을 가둘 수 있고 슬라임을 관리하기 쉬워집니다.\
하지만 기억하세요: 배고픈 슬라임은 언제나 우리에서 빠져나올 방법을 찾을 것입니다! \n\
\n\
<b>왼쪽 범퍼(LB)/오른쪽 범퍼(RB)</b>: 흡입 탱크를 선택하기 \n\
<b>오른쪽 트리거(RT)</b>: 쏘기",
m.desc.corralling,,,
t.feeding,Ranching Basics: Feeding Slimes,목장 일의 기본: 슬라임에게 먹이 주기,
m.intro.feeding,A well-fed slime makes for a happy (and wealthy) rancher.,잘 먹은 슬라임은 목장주를 행복하도록(그리고 부유하도록) 도와줍니다.,
m.instructions.feeding,"Each slime has a particular diet. Most prefer either fruit, veggies, or meat. \
When a slime eats, it produces a plort. \n\
\n\
However, most slimes have a favorite food. When a slime eats its favorite food it produces double plorts! \n\
\n\
<b>Mouse Wheel</b>: Select vac tank \n\
<b>Left Mouse Button</b>: Shoot","여러 종의 슬라임은 각각 좋아하는 식단이 있습니다. 대부분 과일, 채소, 고기를 선호합니다. \
슬라임이 밥을 먹으면 보석을 만들어냅니다. \n\
\n\
그러나 대부분의 슬라임은 가장 좋아하는 음식이 있습니다. 슬라임이 가장 좋아하는 음식을 먹으면 보석을 2배로 만들어냅니다! \n\
\n\
<b>마우스 휠</b>: 흡입 탱크를 선택하기 \n\
<b>마우스 왼쪽 버튼</b>: 쏘기",
