KEY,ENGLISH,KOREAN,CHECKED
l.version_watermark,Slime Rancher Early Access v {0},슬라임 목장 Early Access v {0},
l.version_watermark_xbox,Slime Rancher v {0},슬라임 목장 (Game Preview) v {0},
l.version_watermark_xboxgp,Slime Rancher (Game Preview) v {0},,
l.version_full_watermark,Version: {0} ({1}),버전: {0} ({1}),
l.version,v {0},v {0},
t.pedia,Slimepedia,슬라임백과,
m.new_pedia_entry,New Slimepedia Entry:,새로운 슬라임백과 항목,
b.tutorials,Tutorials,,
b.slimes,Slimes,슬라임들,
b.resources,Resources,자원들,
b.ranch,Ranch,목장,
b.world,World,세계,
b.science,Slime Science,슬라임 과학,
l.favored_by,Favored By:,선호하는 것:,
l.instructions,Instructions:,지침:,
l.diet,Diet:,먹이:,
l.favorite,Favorite:,선호:,
l.biology,Slimeology:,슬라임생태학:,
l.risks,Rancher Risks:,위험 요소:,
l.plorts,Plortonomics:,보석경제학:,
l.upgrades,Upgrades:,업그레이드:,
l.resource_type,Type:,종류:,
l.about,About:,알아보기:,
l.how_to_use,On the Ranch:,목장에서는:,
m.pedia_hint,{0}: Slimepedia,{0}: 슬라임백과,
m.hudinfo_diet,Diet: {0},먹이: {0},
m.hudinfo_type,Food Type: {0},음식 종류: {0},
m.hudinfo_plort,Type: Plort,종류: 보석,
m.hudinfo_echo,Type: Echo,종류: 에코,
m.hudinfo_toy,Type: Slime Toy,종류: 슬라임 장난감,
m.foodgroup.veggies,Veggie,야채,
m.foodgroup.fruit,Fruit,과일,
m.foodgroup.meat,Meat,고기,
m.foodgroup.none,None,없음,
m.foodgroup.all,Everything,모두,
m.foodgroup.nonblackgold_slimes,Slimes,슬라임,
m.foodgroup.tarr,"Slimes, Meat, and Ranchers","슬라임, 고기, 그리고 목장주",
m.foodgroup.water,Water,물,
m.foodgroup.ash,Ash,재,
b.ok,OK,예,
b.cancel,Cancel,취소,
b.retry,Retry,다시,
m.day,Day {0},{0}일,
l.empty,EMPTY,비어있음,
l.ammo,x {0},x {0},
t.access_door,Ranch Expansion,목장 확장,
b.unlock,Unlock,해금,
b.open_door,Open,열다,
b.close_door,Close,닫다,
m.press_to_activate,Press {0} to activate,{0} 을 눌러 작동시키세요,
m.press_to_activate.pre_gamepad,Press, ,
m.press_to_activate.post_gamepad,to activate,를 눌러 작동시키세요,
m.press_to_use_key,Press {0} to use a Slime Key,{0} 을 눌러 슬라임 키를 사용하세요,
m.press_to_use_key.pre_gamepad,Press, ,
m.press_to_use_key.post_gamepad,to use a Slime Key,을 눌러 슬라임 키를 사용하세요,
m.needs_key,Requires a Slime Key to open,열기 위해선 슬라임 키가 필요합니다.,
m.ranch_house_unavailable,Ranch House unavailable in demo,목장 건물은 데모에서 사용할 수 없습니다.,
m.lab_unavailable,Lab unavailable in demo,,
m.press_to_open_pod,Press {0} to open pod,{0} 을 눌러 포드를 여세요,
m.press_to_open_pod.pre_gamepad,Press, ,
m.press_to_open_pod.post_gamepad,to open pod,을 눌러 포드를 여세요,
m.needs_treasure_cracker,Treasure Pod is locked,트레저 포드가 잠겨 있습니다,
m.insuf_treasure_cracker,A more advanced Treasure Cracker is required,보다 진보된 트레저 크래커가 필요합니다.,
m.press_to_open_gate,Press {0} to open the gate,,
m.press_to_open_gate.pre_gamepad,Press,,
m.press_to_open_gate.post_gamepad,to open the gate,,
m.gate_locked,The gate is locked,,
b.purchase,Purchase,구입,
b.place,Install,설치,
b.sold_out,Sold Out,매진,
b.learn_more,Learn More,더 읽기,
l.curr_count,({0}),({0}),
b.extractors,Extractors,추출기,
b.warp_tech,Warp Tech,워프 기술,
b.utilities,Utilities,도구,
b.decorations,Decorations,장식,
b.curios,Curios,골동품,
b.tech,Tech,,
b.house,House,,
b.vac,Vac,,
b.select,Select,,
b.already_selected,Selected,,
l.cost,Cost:,비용:,
m.upgrades,Upgrades:,업그레이드:,
b.demolish,Demolish,파괴,
b.pick_up,Pick Up,집어들기,
l.demolish_plot,Demolish Plot,터 파괴,
l.demolish_gadget,Demolish Gadget,장치 파괴,
l.demolish_linked_gadget,Demolish Linked Gadget,연결된 장치 파괴,
l.pick_up_gadget,Pick Up Gadget,장치 집어들기,
m.desc.demolish_plot,Clears this ranch plot and allows you to build something new.,이 목장 터를 철거하고 새로운 것을 지을 수 있습니다.,
m.desc.demolish_gadget,"Destroys this gadget, allowing you to place a new gadget at this build site.",이 장치를 부수면 새 장치를 이 건축 부지에 놓을 수 있습니다.,
m.desc.demolish_linked_gadget,Destroys this gadget and its linked gadget installed elsewhere.,이 장치와 이 장치와 연결된 다른 장치를 부숩니다.,
m.desc.pick_up_gadget,"Pick up this gadget, allowing you to place it again elsewhere.",이 장치를 들어서 다른 곳에 배치할 수 있습니다.,
e.insuf_coins,Insufficient coins.,코인이 부족합니다.,
m.select_option,Select an option for details.,자세히 보려면 옵션을 선택하세요,
