KEY,ENGLISH,KOREAN,CHECKED
t.basic_movement,Let's get moving!,움직여 봅시다!,
m.input.basic_movement.1,W,W,
m.inputdesc.basic_movement.1,move forward,앞으로 가기,
m.input.basic_movement.2,A,A,
m.inputdesc.basic_movement.2,move left,왼쪽으로 가기,
m.input.basic_movement.3,S,S,
m.inputdesc.basic_movement.3,move backward,뒤로 가기,
m.input.basic_movement.4,D,D,
m.inputdesc.basic_movement.4,move right,오른쪽으로 가기,
m.input.gamepad.basic_movement.1,Move,이동,
m.inputdesc.gamepad.basic_movement.1,move,이동,
t.jumping,Hop to it!,폴짝 뛰기!,
m.input.jumping.1,Spacebar,스페이스 바,
m.inputdesc.jumping.1,jump,점프,
m.input.jumping.2,Hold Shift,쉬프트를 눌르시오.,
m.inputdesc.jumping.2,sprint,전력질주,
m.input.gamepad.jumping.1,Jump,점프,
m.inputdesc.gamepad.jumping.1,jump,점프,
m.input.gamepad.jumping.2,Run,뛰기,
m.inputdesc.gamepad.jumping.2,sprint,전력질주,
t.vaccing,How to vac like a rancher,목장주처럼 포획하는 방법,
m.text.vaccing,Your vacpack can vac things up and store them in a vac tank.,포집기는 물건들을 끌어다 포획하고 포획통에 보관할 수 있습니다.,
m.input.vaccing.1,Hold Right Mouse,마우스 오른쪽 버튼을 누르세요,
m.inputdesc.vaccing.1,vac,포획,
m.input.gamepad.vaccing.1,Vac,포획,
m.inputdesc.gamepad.vaccing.1,vac,포획,
t.shooting,You vac'd a slime!,슬라임을 잡았습니다.,
m.text.shooting,Slimes are key to your success. Shoot slimes THROUGH a corral barrier into the corral on the ranch.,슬라임은 성공의 열쇠입니다. 슬라임을 목장 장벽 너머로 쏴서 넣으세요!,
m.input.shooting.1,Mouse Wheel,마우스 휠,
m.inputdesc.shooting.1,select vac tank,포획 탱크를 선택,
m.input.shooting.2,Hold Left Mouse,마우스 왼쪽 버튼을 누르세요,
m.inputdesc.shooting.2,shoot,쏘기,
m.input.gamepad.shooting.1,PrevSlot,이전 슬롯,
m.inputdesc.gamepad.shooting.1,select prev vac tank,이전 포획 탱크를 선택,
m.input.gamepad.shooting.2,NextSlot,다음 슬롯,
m.inputdesc.gamepad.shooting.2,select next vac tank,다음 포획 탱크를 선택,
m.input.gamepad.shooting.3,Attack,공격,
m.inputdesc.gamepad.shooting.3,shoot,발사,
t.food,Tasty food acquired!,맛있는 음식이 필요함!,
m.text.food,"Food like fruits, veggies, or chickens are used to feed slimes. Try shooting food at a pink slime; they'll eat anything.","과일,채소,닭 같은 음식들은 슬라임을 먹이는데 사용됩니다.핑크 슬라임에게 음식을 던져보세요.그들은 아무거나 먹을 것입니다.",
m.input.food.1,Mouse Wheel,마우스 휠,
m.inputdesc.food.1,select vac tank,포획 탱크를 선택,
m.input.food.2,Hold Left Mouse,마우스 왼쪽 버튼을 누르세요,
m.inputdesc.food.2,shoot,쏘기,
m.input.gamepad.food.1,PrevSlot,이전 슬롯,
m.inputdesc.gamepad.food.1,select prev vac tank,이전 포획 탱크를 선택,
m.input.gamepad.food.2,NextSlot,다음 슬롯,
m.inputdesc.gamepad.food.2,select next vac tank,다음 포획 탱크를 선택,
m.input.gamepad.food.3,Attack,공격,
m.inputdesc.gamepad.food.3,shoot,쏘기,
t.plort,You acquired a slime plort!,슬라임 플롯을 획득함!,
m.text.plort,"When slimes eat they make plorts.\n\n\
  Head on over to the Plort Market to cash in your plort.","슬라임이 밥을 먹으면 플롯을 만듭니다.\n\n\
  보석을 돈으로 바꾸기 위해 보석 상점으로 향하세요.",
t.market,The Plort Market,보석 상점,
m.text.market,"The Plort Market gives you newbucks for your hard-earned plorts.\n\n\
  Shoot a plort into the Plort Market and earn some cash!","보석 상점은 당신이 힘들여 얻은 보석에 대한 보상을 제공합니다.\n\n\
  보석을 보석 상점을 향해 쏴서 돈을 얻으세요!",
m.input.market.1,Mouse Wheel,마우스 휠,
m.inputdesc.market.1,select vac tank,포획 탱크를 선택,
m.input.market.2,Hold Left Mouse,마우스 왼쪽 버튼을 누르세요,
m.inputdesc.market.2,shoot,쏘기,
m.input.gamepad.market.1,PrevSlot,이전 슬롯,
m.inputdesc.gamepad.market.1,select prev vac tank,이전 포획 탱크를 선택,
m.input.gamepad.market.2,NextSlot,다음 슬롯,
m.inputdesc.gamepad.market.2,select next vac tank,다음 포획 탱크를 선택,
m.input.gamepad.market.3,Attack,공격,
m.inputdesc.gamepad.market.3,shoot,쏘기,
t.death,Welcome back...,다시오신것을 환영합니다......,
m.text.death,"When you're knocked out you'll rest at least 12 hours in order to recover. If you're not careful, you \
  might wake up to a mob of hungry, unruly slimes on your ranch!","만약 당신이 기절하게 되면 회복하는 데 12시간이 걸립니다. 주의하지 않으면, \
일어난 후에 배고프고 무질서한 슬라임 폭도를 보게 될 것입니다.",
t.garden,You built a garden!,당신은 정원을 만들었다!,
m.text.garden,Shoot a fruit or veggie into the depositor to begin growing more of that type!,과일이나 채소를 기르기를 시작하려면 투입구에 그 과일이나 채소를 쏘세요!,
t.largo,Oh my largo!,오! 나의 느림보님,
m.text.largo,"Largo slimes are large slime hybrids formed when a slime eats a plort unlike its own.\n\
  \n\
  Vac to keep them on your nozzle, or shoot to send them flying!","느림보 슬라임은 슬라임이 자신과는 다른 슬라임의 보석을 먹을 때 생기는 큰 혼종 슬라임입니다.\n\
  \n\
  노즐로 흡입하여 느림보 슬라임을 붙여 다니거나 쏘아서 하늘로 날리세요!",
t.explore,That about covers the basics!,이러한 것들이 기본 내용!,
m.text.explore,"You've learned the fundamentals, now it's time to get out there and explore!\n\
  \n\
  Remember, the best way to become a pro rancher is to experiment. Nothing ventured, nothing gained!","기본에 대해 배웠습니다. 이제 밖으로 나가 탐험을 할 시간입니다.\n\
  \n\
  기억하세요, 전문 목장주가 되는 가장 좋은 방법은 탐험입니다. 모험이 없으면,얻는것도 없다",
t.science_barn,Slime Science!,슬리임 과학!,
m.text.science_barn,"You've unlocked The Lab, a special Ranch expansion that will allow you to create gadgets using \
  Slime Science!\n\
  \n\
  Head on over to the barn and get started!","연구실을 해제했습니다. 연구실은 특별한 목장의 확장기능으로 장치들을 만들 수 있게 합니다\
  슬라임 과학을 이용해서!\n\
  \n\
  헛간으로 가서 시작하세요!",
t.science_summary,Time to get crafty!,수공예를 할 시간!,
m.text.science_summary,"This barn has all the equipment you'll need to begin crafting gadgets using Slime Science. \
  Gadgets include useful utilities to aid in exploring, defensive turrets, decorations, and more!","이 헛간에는 슬라임 과학을 사용하여 장치를 만들 수 있는 모든 장비가 갖춰져있습니다.\
  장치에는 탐험, 방어용 포탑, 장식 등을 돕는 유용한 도구들이 있습니다. ",
t.science_refinery,The Refinery,정제소,
m.text.science_refinery,"In order to fabricate gadgets, you'll need resources in your Refinery. Try shooting a plort \
  into the Refinery.\n\
  \n\
  But remember: any resources deposited into a Refinery CANNOT be removed.",도구를 제작하기 위해서는 당신의 정제소에 있는 자원들이 필요합니다.Plort을 정제소에 쏴보세요.\n\\n\ 하지만 정제소에 넣은 자원은 다시 뺄 수 없으니 조심하세요.,
t.science_builder_shop,The Builder's Shop,장인의 집,
